Date,Open,High,Low,Close,Volume
2014-11-30,585.34,609.89,560.91,566.34,1894839302
2014-12-31,566.32,586.93,532.45,576.04,2250169087
2015-01-31,576.28,605.04,561.09,596.19,2014736325
2015-02-28,596.39,622.9,594.69,615.64,2159573051
2015-03-31,615.66,624.01,601.31,619.2,2208452555
2015-04-30,619.2,666.68,615.31,639.36,1659001951
2015-05-31,639.35,660.12,639.3,645.68,1929454558
2015-06-30,645.67,660.47,620.9,629.11,1745727795
2015-07-31,630.37,655.49,613.52,638.93,1924853547
2015-08-31,638.92,644.79,540.76,594.1,2192411236
2015-09-30,594.08,600.37,562.58,581.79,2276362393
2015-10-31,581.79,628.61,579.96,615.24,1889977703
2015-11-30,615.23,635.64,605.31,628.76,1743583571
2015-12-31,628.78,635.85,584.16,610.26,2031182997
2016-01-31,610.26,610.26,517.17,560.93,2273412972
2016-02-29,560.97,572.5,513.31,572.5,2905549918
2016-03-31,572.49,594.87,568.64,577.75,2448098833
2016-04-30,577.67,612.0,557.64,606.28,2386042217
2016-05-31,606.28,624.05,589.54,617.31,2336667703
2016-06-30,617.31,624.41,572.97,602.86,2352229334
2016-07-31,602.86,632.62,592.13,612.63,1745189995
2016-08-31,612.63,626.02,599.52,618.93,1922111802
2016-09-30,618.93,630.24,596.72,622.69,2643564835
2016-10-31,622.69,646.12,622.3,638.2,2293371668
2016-11-30,638.21,660.51,616.75,656.63,2289935856
2016-12-31,656.7,692.27,656.06,683.87,2127822237
2017-01-31,683.87,711.21,683.87,693.12,2284983232
2017-02-28,693.12,702.99,684.87,690.27,1812317459
2017-03-31,690.26,708.54,677.65,687.85,2127126926
2017-04-30,687.85,701.36,680.13,697.66,1423037772
2017-05-31,697.69,728.33,696.4,710.34,1670760387
2017-06-30,710.34,716.09,690.8,698.58,1628738221
2017-07-31,698.64,737.22,696.22,732.51,1520911147
2017-08-31,732.53,744.36,718.03,739.87,1989559491
2017-09-30,740.2,783.86,739.64,783.09,2258056041
2017-10-31,783.06,810.55,782.58,806.95,2282946749
2017-11-30,807.09,822.19,789.29,796.83,2051504451
2017-12-31,796.78,819.66,781.73,814.45,1991854459
2018-01-31,814.51,843.74,807.06,811.01,2411432852
2018-02-28,811.04,827.81,770.76,819.77,2616847699
2018-03-31,819.78,822.85,783.15,805.32,2011713703
2018-04-30,804.9,869.35,795.42,859.96,2155007753
2018-05-31,859.96,895.43,857.24,875.52,1926725281
2018-06-30,875.73,902.29,868.45,879.14,2327998012
2018-07-31,879.16,899.5,866.59,896.4,2167926081
2018-08-31,896.41,916.77,882.47,906.69,1833896370
2018-09-30,906.63,947.46,887.55,938.26,2143578474
2018-10-31,938.27,948.48,850.99,889.66,3015189757
2018-11-30,889.62,901.7,832.87,860.98,2618331440
2018-12-31,861.54,881.32,783.58,799.46,1572199322
2019-01-31,799.48,855.79,786.54,835.31,2068198846
2019-02-28,835.29,881.29,831.17,865.28,1707322534
2019-03-31,865.36,893.65,859.23,863.11,1910772522
2019-04-30,863.12,897.0,863.12,880.91,2144241156
2019-05-31,880.83,891.52,838.44,852.09,2620592989
2019-06-30,852.01,879.21,842.59,864.63,2529014064
2019-07-31,864.67,892.97,851.98,859.14,1638789505
2019-08-31,859.04,864.95,806.24,861.29,1508504581
